Typ,Anal.,Probenname,ProbenID,Original,Kal.Kurve,Manuelle Verduennung,Anmerk.,Datum / Uhrzeit,Prb. Nr.,Inj. Nr.,Analyse(Inj.),Flaeche,Konz.,MW Konz.,Ergebnis,Std. Abw. Konz,Ausgeschl.,Inj. Vol.,
Unbekannt,NPOC,AP02_240625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 18:25:45,1,2,NPOC,17.57,5.150,5.187,NPOC:5.187mg/L,0.05181,0,50,
Unbekannt,NPOC,AP01_010725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 18:34:37,1,1,NPOC,18.67,5.472,5.430,NPOC:5.430mg/L,0.06010,0,50,
Unbekannt,NPOC,AP01_010725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 18:36:46,1,2,NPOC,18.38,5.387,5.430,NPOC:5.430mg/L,0.06010,0,50,
Unbekannt,NPOC,AP02_010725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 18:45:27,1,1,NPOC,18.50,5.422,5.430,NPOC:5.430mg/L,0.01036,0,50,
Unbekannt,NPOC,AP02_010725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 18:47:35,1,2,NPOC,18.55,5.437,5.430,NPOC:5.430mg/L,0.01036,0,50,
Unbekannt,NPOC,AP01_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 19:08:51,1,1,NPOC,19.13,5.607,5.568,NPOC:5.568mg/L,0.05596,0,50,
Unbekannt,NPOC,AP01_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 19:11:01,1,2,NPOC,18.86,5.528,5.568,NPOC:5.568mg/L,0.05596,0,50,
Unbekannt,NPOC,AP02_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 19:19:40,1,1,NPOC,19.69,5.771,5.746,NPOC:5.746mg/L,0.03523,0,50,
Unbekannt,NPOC,AP02_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 19:21:49,1,2,NPOC,19.52,5.721,5.746,NPOC:5.746mg/L,0.03523,0,50,
Unbekannt,NPOC,SP01_240625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 19:31:04,1,1,NPOC,28.82,8.447,8.031,NPOC:8.031mg/L,0.06218,1,50,
Unbekannt,NPOC,SP01_240625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 19:33:24,1,2,NPOC,27.25,7.987,8.031,NPOC:8.031mg/L,0.06218,0,50,
Unbekannt,NPOC,SP01_240625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 19:35:29,1,3,NPOC,27.55,8.075,8.031,NPOC:8.031mg/L,0.06218,0,50,
Unbekannt,NPOC,SP02_240625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 19:44:42,1,1,NPOC,27.99,8.204,8.135,NPOC:8.135mg/L,0.09741,0,50,
Unbekannt,NPOC,SP02_240625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 19:46:51,1,2,NPOC,27.52,8.066,8.135,NPOC:8.135mg/L,0.09741,0,50,
Unbekannt,NPOC,SP01_010725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 19:55:39,1,1,NPOC,28.81,8.444,8.374,NPOC:8.374mg/L,0.09948,0,50,
Unbekannt,NPOC,SP01_010725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 19:57:51,1,2,NPOC,28.33,8.304,8.374,NPOC:8.374mg/L,0.09948,0,50,
Unbekannt,NPOC,SP02_010725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 20:07:25,1,1,NPOC,29.32,8.594,8.182,NPOC:8.182mg/L,0.01865,1,50,
Unbekannt,NPOC,SP02_010725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 20:09:37,1,2,NPOC,27.96,8.195,8.182,NPOC:8.182mg/L,0.01865,0,50,
Unbekannt,NPOC,SP02_010725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 20:11:42,1,3,NPOC,27.87,8.169,8.182,NPOC:8.182mg/L,0.01865,0,50,
Unbekannt,NPOC,SP01_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 20:20:24,1,1,NPOC,29.43,8.626,8.559,NPOC:8.559mg/L,0.09534,0,50,
Unbekannt,NPOC,SP01_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 20:22:34,1,2,NPOC,28.97,8.491,8.559,NPOC:8.559mg/L,0.09534,0,50,
Unbekannt,NPOC,SP02_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 20:31:15,1,1,NPOC,29.72,8.711,8.626,NPOC:8.626mg/L,0.1202,0,50,
Unbekannt,NPOC,SP02_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 20:33:23,1,2,NPOC,29.14,8.541,8.626,NPOC:8.626mg/L,0.1202,0,50,
Unbekannt,NPOC,SP01_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 20:42:07,1,1,NPOC,71.07,20.83,0.000,NPOC:0.000mg/L,0.000,2,50,
Unbekannt,NPOC,SP01_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 20:49:44,1,2,NPOC,3.375,2.968,0.000,NPOC:0.000mg/L,0.000,2,50,
Unbekannt,NPOC,SP01_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 20:51:57,1,3,NPOC,0.2146,0.1887,0.000,NPOC:0.000mg/L,0.000,2,50,
Unbekannt,NPOC,SP01_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 20:54:08,1,4,NPOC,100.7,88.55,0.000,NPOC:0.000mg/L,0.000,2,50,
Unbekannt,NPOC,SP01_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 21:01:39,1,5,NPOC,0.5840,1.541,0.000,NPOC:0.000mg/L,0.000,1,50,
Unbekannt,NPOC,SP01_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 21:03:50,1,6,NPOC,0.000,0.000,0.000,NPOC:0.000mg/L,0.000,0,50,
Unbekannt,NPOC,SP01_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 21:05:55,1,7,NPOC,0.000,0.000,0.000,NPOC:0.000mg/L,0.000,0,50,
Unbekannt,NPOC,SP02_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 21:15:02,1,1,NPOC,69.53,20.38,1.076,NPOC:1.076mg/L,0.3087,2,50,
Unbekannt,NPOC,SP02_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 21:22:39,1,2,NPOC,0.3601,0.3166,1.076,NPOC:1.076mg/L,0.3087,2,50,
Unbekannt,NPOC,SP02_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 21:24:48,1,3,NPOC,0.000,0.000,1.076,NPOC:1.076mg/L,0.3087,2,50,
Unbekannt,NPOC,SP02_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 21:26:58,1,4,NPOC,93.84,82.52,1.076,NPOC:1.076mg/L,0.3087,2,50,
Unbekannt,NPOC,SP02_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 21:34:29,1,5,NPOC,0.4908,1.295,1.076,NPOC:1.076mg/L,0.3087,0,50,
Unbekannt,NPOC,SP02_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 21:36:46,1,6,NPOC,0.3253,0.8581,1.076,NPOC:1.076mg/L,0.3087,0,50,
Unbekannt,NPOC,SP02_080725,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 21:38:51,1,7,NPOC,0.000,0.000,1.076,NPOC:1.076mg/L,0.3087,1,50,
